,policy,A.1 Total Costs,A.2 Total Costs,A.3 Total Costs,A.4 Total Costs,A.5 Total Costs,RfR Total Costs,Expected Evacuation Costs,,,,,,,,,,,,,,,,,,,,,
115,277,68139002.96,90143923.55,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
116,277,68139002.96,91570990.92,126101524.7,22258486.73,38691308.13,0,0,,,,,,,,,,,,,,,,,,,,,
117,277,68139002.96,97885897.16,126101524.7,22258486.73,74774046.25,0,0,,,,,,,,,,,,,,,,,,,,,
118,277,68139002.96,583371467.6,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
119,277,68139002.96,90143923.55,126101524.7,22258486.73,119956487.2,0,0,,,,,,,,,,,,,,,,,,,,,
120,277,68139002.96,97950552.54,126101524.7,22258486.73,182246112.9,0,0,,,,,,,,,,,,,,,,,,,,,
121,277,68139002.96,102110214.1,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
122,277,68139002.96,90143923.55,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
123,277,68139002.96,113659857.3,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
124,277,68139002.96,90143923.55,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
125,277,68139002.96,149773130.1,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
126,277,68139002.96,91242475.68,126101524.7,22258486.73,35118619.6,0,0,,,,,,,,,,,,,,,,,,,,,
127,277,68139002.96,104545893.8,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
128,277,68139002.96,103421095.8,126101524.7,22258486.73,256044080.4,0,0,,,,,,,,,,,,,,,,,,,,,
129,277,68139002.96,90378624.58,126101524.7,22258486.73,34346432.7,0,0,,,,,,,,,,,,,,,,,,,,,
130,277,68139002.96,695933114.8,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
131,277,68139002.96,90143923.55,126101524.7,22258486.73,95766891.4,0,0,,,,,,,,,,,,,,,,,,,,,
132,277,68139002.96,90143923.55,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
133,277,68139002.96,104394510.3,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
134,277,68139002.96,91022699.8,126101524.7,22258486.73,95532269.25,0,0,,,,,,,,,,,,,,,,,,,,,
135,277,68139002.96,90143923.55,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
136,277,68139002.96,90143923.55,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
137,277,68139002.96,90143923.55,126101524.7,33018811.39,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
138,277,68139002.96,90143923.55,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
139,277,68139002.96,90143923.55,126101524.7,22258486.73,96016079.84,0,0,,,,,,,,,,,,,,,,,,,,,
140,277,68139002.96,90143923.55,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
141,277,68139002.96,90143923.55,126101524.7,22258486.73,155472108,0,0,,,,,,,,,,,,,,,,,,,,,
142,277,68139002.96,90143923.55,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
143,277,68139002.96,90143923.55,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
144,277,68139002.96,90143923.55,126101524.7,22258486.73,95477576.99,0,0,,,,,,,,,,,,,,,,,,,,,
145,277,68139002.96,114395657.1,126101524.7,22258486.73,94824895.51,0,0,,,,,,,,,,,,,,,,,,,,,
146,277,68139002.96,115582330.2,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
147,277,68139002.96,115579519.6,126101524.7,22258486.73,131775105.9,0,0,,,,,,,,,,,,,,,,,,,,,
148,277,68139002.96,90143923.55,126101524.7,22258486.73,98297472.44,0,0,,,,,,,,,,,,,,,,,,,,,
149,277,68139002.96,90143923.55,126101524.7,22258486.73,39581240.56,0,0,,,,,,,,,,,,,,,,,,,,,
150,277,68139002.96,91017905.96,126101524.7,22258486.73,188813153.7,0,0,,,,,,,,,,,,,,,,,,,,,
151,277,68139002.96,98318663.09,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
152,277,68139002.96,127583274.2,126101524.7,22258486.73,331299387.4,0,0,,,,,,,,,,,,,,,,,,,,,
153,277,68139002.96,90442804.02,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
154,277,68139002.96,90143923.55,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
155,277,68139002.96,96591102.84,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
156,277,68139002.96,115806549.4,126101524.7,22258486.73,275988336.4,0,0,,,,,,,,,,,,,,,,,,,,,
157,277,68139002.96,99492144.67,126101524.7,22258486.73,86956355.97,0,0,,,,,,,,,,,,,,,,,,,,,
158,277,68139002.96,125565614.5,126101524.7,22258486.73,116941549.7,0,0,,,,,,,,,,,,,,,,,,,,,
159,277,68139002.96,91024511.39,126101524.7,22258486.73,39507633.08,0,0,,,,,,,,,,,,,,,,,,,,,
160,277,68139002.96,105064538,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
