,policy,A.1 Total Costs,A.2 Total Costs,A.3 Total Costs,A.4 Total Costs,A.5 Total Costs,RfR Total Costs,Expected Evacuation Costs,,,,,,,,,,,,,,,,,,,,,
2438,683,47847947.96,127999216.4,62267437.98,8855186.966,72888484.22,0,0,,,,,,,,,,,,,,,,,,,,,
2439,683,47847947.96,104651657.9,62267437.98,10478332.6,122214584.7,0,0,,,,,,,,,,,,,,,,,,,,,
2440,683,56188073.15,104651657.9,62267437.98,11867624.35,101421892.4,0,0,,,,,,,,,,,,,,,,,,,,,
2441,683,47847947.96,104651657.9,62267437.98,12465990.73,128463184.2,0,0,,,,,,,,,,,,,,,,,,,,,
2442,683,264784083.2,104651657.9,62267437.98,170708989.8,50929971.2,0,0,,,,,,,,,,,,,,,,,,,,,
2443,683,47847947.96,130959937,62267437.98,15950481.73,100185998.7,0,0,,,,,,,,,,,,,,,,,,,,,
2444,683,47847947.96,125294735.9,62267437.98,27663268.2,147736530.3,0,0,,,,,,,,,,,,,,,,,,,,,
2445,683,47847947.96,107196388,62267437.98,12655141.45,198367193.5,0,0,,,,,,,,,,,,,,,,,,,,,
2446,683,47847947.96,107174306.5,62267437.98,12427755.39,269828517.9,0,0,,,,,,,,,,,,,,,,,,,,,
2447,683,47847947.96,104651657.9,62267437.98,10517652.08,147358351.7,0,0,,,,,,,,,,,,,,,,,,,,,
2448,683,47847947.96,104651657.9,62267437.98,10883948.55,1139510636,0,0,,,,,,,,,,,,,,,,,,,,,
2449,683,380308093.1,104651657.9,62267437.98,8453407.697,50929971.2,0,0,,,,,,,,,,,,,,,,,,,,,
2450,683,47847947.96,104651657.9,62267437.98,29575446.47,73763933.27,0,0,,,,,,,,,,,,,,,,,,,,,
2451,683,47847947.96,104651657.9,62267437.98,12009092.39,137860965.5,0,0,,,,,,,,,,,,,,,,,,,,,
2452,683,2434089452,104651657.9,62267437.98,13157463.71,50929971.2,0,0,,,,,,,,,,,,,,,,,,,,,
2453,683,135047082.5,104651657.9,95597934.47,8668847.942,320455090,0,0,,,,,,,,,,,,,,,,,,,,,
2454,683,47847947.96,117479154.8,62267437.98,50718049.12,50929971.2,0,0,,,,,,,,,,,,,,,,,,,,,
2455,683,47847947.96,104651657.9,62267437.98,12780688.22,118462741.4,0,0,,,,,,,,,,,,,,,,,,,,,
2456,683,47847947.96,122311467,62267437.98,17512058.57,237175099.3,0,0,,,,,,,,,,,,,,,,,,,,,
2457,683,47847947.96,104651657.9,100235344.5,8453407.697,175435082.6,0,0,,,,,,,,,,,,,,,,,,,,,
2458,683,47847947.96,238141295.1,62267437.98,11549118.72,50929971.2,0,0,,,,,,,,,,,,,,,,,,,,,
2459,683,47847947.96,104651657.9,62267437.98,14796990.95,197545610,0,0,,,,,,,,,,,,,,,,,,,,,
2460,683,47847947.96,106227103.8,62267437.98,10787185,118661114.6,0,0,,,,,,,,,,,,,,,,,,,,,
2461,683,61407666.75,104651657.9,62267437.98,17089186.7,196217675.1,0,0,,,,,,,,,,,,,,,,,,,,,
2462,683,47847947.96,104651657.9,62267437.98,93045509.14,52090454.62,0,0,,,,,,,,,,,,,,,,,,,,,
2463,683,128580431.3,104651657.9,62267437.98,119285049.7,50929971.2,0,0,,,,,,,,,,,,,,,,,,,,,
2464,683,47847947.96,104651657.9,62267437.98,10937692.83,543534213,0,0,,,,,,,,,,,,,,,,,,,,,
2465,683,153157821.8,104651657.9,62267437.98,77649623.27,288264446.8,0,0,,,,,,,,,,,,,,,,,,,,,
2466,683,47847947.96,107488936.8,62267437.98,92342699.2,50929971.2,0,0,,,,,,,,,,,,,,,,,,,,,
2467,683,47847947.96,104651657.9,62267437.98,144625503,50929971.2,0,0,,,,,,,,,,,,,,,,,,,,,
2468,683,47847947.96,153381993.9,62267437.98,8453407.697,50929971.2,0,0,,,,,,,,,,,,,,,,,,,,,
2469,683,60740360.41,136730890.8,123215192.3,99223909.9,50929971.2,0,0,,,,,,,,,,,,,,,,,,,,,
2470,683,469637532.7,104651657.9,62267437.98,8453407.697,219526573.8,0,0,,,,,,,,,,,,,,,,,,,,,
2471,683,47847947.96,120344040.5,62267437.98,116334159,50929971.2,0,0,,,,,,,,,,,,,,,,,,,,,
2472,683,47847947.96,105067276.4,62267437.98,10861606.25,299015433,0,0,,,,,,,,,,,,,,,,,,,,,
2473,683,47847947.96,128800252.3,62267437.98,11292059.46,187091405.4,0,0,,,,,,,,,,,,,,,,,,,,,
2474,683,47847947.96,104957543.1,62267437.98,28054688.37,90048477.99,0,0,,,,,,,,,,,,,,,,,,,,,
2475,683,120559152.7,104651657.9,62267437.98,8453407.697,251850843.1,0,0,,,,,,,,,,,,,,,,,,,,,
2476,683,47847947.96,104651657.9,62267437.98,83888423.42,50929971.2,0,0,,,,,,,,,,,,,,,,,,,,,
2477,683,47847947.96,166886138.1,62267437.98,8453407.697,1085677888,0,0,,,,,,,,,,,,,,,,,,,,,
2478,683,58266426.04,123715509.1,62267437.98,18944895.73,94701751.12,0,0,,,,,,,,,,,,,,,,,,,,,
2479,683,47847947.96,104651657.9,62267437.98,32058550.18,50929971.2,0,0,,,,,,,,,,,,,,,,,,,,,
2480,683,47847947.96,104651657.9,62267437.98,77472689.12,50929971.2,0,0,,,,,,,,,,,,,,,,,,,,,
2481,683,47847947.96,955454032.4,62267437.98,8453407.697,50929971.2,0,0,,,,,,,,,,,,,,,,,,,,,
2482,683,47847947.96,104651657.9,62267437.98,63796983.44,50929971.2,0,0,,,,,,,,,,,,,,,,,,,,,
2483,683,47847947.96,104651657.9,62267437.98,10792155.98,89838074.12,0,0,,,,,,,,,,,,,,,,,,,,,
2484,683,328499025.1,104651657.9,62267437.98,28752532.88,50929971.2,0,0,,,,,,,,,,,,,,,,,,,,,
2485,683,1389933301,104651657.9,62267437.98,13561041.8,50929971.2,0,0,,,,,,,,,,,,,,,,,,,,,
2486,683,47847947.96,104651657.9,62267437.98,31864960.2,116672660.3,0,0,,,,,,,,,,,,,,,,,,,,,
2487,683,47847947.96,104651657.9,62267437.98,10867654.44,93091733.94,0,0,,,,,,,,,,,,,,,,,,,,,
2488,683,47847947.96,104651657.9,62267437.98,63255131.39,118618166.8,0,0,,,,,,,,,,,,,,,,,,,,,
2489,683,47847947.96,104651657.9,62267437.98,197495406.7,50929971.2,0,0,,,,,,,,,,,,,,,,,,,,,
2490,683,47847947.96,229266860.4,62267437.98,21634396.29,50929971.2,0,0,,,,,,,,,,,,,,,,,,,,,
2491,683,47847947.96,106448455.4,62267437.98,26945448.67,75772771.26,0,0,,,,,,,,,,,,,,,,,,,,,
2492,683,47847947.96,120315460.1,62267437.98,10851067.68,109765745,0,0,,,,,,,,,,,,,,,,,,,,,
2493,683,47847947.96,104651657.9,62267437.98,13948730.26,87434612.44,0,0,,,,,,,,,,,,,,,,,,,,,
2494,683,47847947.96,104651657.9,62267437.98,24824231.51,416819783.6,0,0,,,,,,,,,,,,,,,,,,,,,
2495,683,47847947.96,104651657.9,62267437.98,11472635.28,166487828.8,0,0,,,,,,,,,,,,,,,,,,,,,
2496,683,47847947.96,104651657.9,62267437.98,14053875.23,121763747.6,0,0,,,,,,,,,,,,,,,,,,,,,
2497,683,47847947.96,130850059.1,144806387.2,49009435.67,80831655.45,0,0,,,,,,,,,,,,,,,,,,,,,
2498,683,47847947.96,104651657.9,62267437.98,11458931.99,51339960.98,0,0,,,,,,,,,,,,,,,,,,,,,
2499,683,47847947.96,104651657.9,64999564.68,44197016.86,50929971.2,0,0,,,,,,,,,,,,,,,,,,,,,
2500,683,47847947.96,146563491.8,62267437.98,8453407.697,50929971.2,0,0,,,,,,,,,,,,,,,,,,,,,
2501,683,2526773804,104651657.9,62267437.98,20920350.41,51314431.69,0,0,,,,,,,,,,,,,,,,,,,,,
2502,683,47847947.96,612773942,62267437.98,18085471.4,134013514.3,0,0,,,,,,,,,,,,,,,,,,,,,
2503,683,47847947.96,104651657.9,62267437.98,77735771.28,50929971.2,0,0,,,,,,,,,,,,,,,,,,,,,
2504,683,171719732.9,104651657.9,257276690.2,8453407.697,50929971.2,0,0,,,,,,,,,,,,,,,,,,,,,
2505,683,47847947.96,104651657.9,62267437.98,25806077.37,53242947.3,0,0,,,,,,,,,,,,,,,,,,,,,
2506,683,47847947.96,104651657.9,62267437.98,10855457.48,53273469.13,0,0,,,,,,,,,,,,,,,,,,,,,
2507,683,47847947.96,104651657.9,62267437.98,26562004.02,368569822.4,0,0,,,,,,,,,,,,,,,,,,,,,
2508,683,47847947.96,128412188.7,62267437.98,35842863.03,99737703.54,0,0,,,,,,,,,,,,,,,,,,,,,
2509,683,47847947.96,107190829.9,62267437.98,36347963.74,96296862.18,0,0,,,,,,,,,,,,,,,,,,,,,
2510,683,47847947.96,104651657.9,62267437.98,36518610.54,50929971.2,0,0,,,,,,,,,,,,,,,,,,,,,
2511,683,47847947.96,104651657.9,62267437.98,68374461.31,330858634.6,0,0,,,,,,,,,,,,,,,,,,,,,
2512,683,47847947.96,120190918.3,62267437.98,12460679.15,50929971.2,0,0,,,,,,,,,,,,,,,,,,,,,
2513,683,141638058.4,104651657.9,62267437.98,10439692.82,50929971.2,0,0,,,,,,,,,,,,,,,,,,,,,
2514,683,47847947.96,104651657.9,62267437.98,11436699.41,124033634.7,0,0,,,,,,,,,,,,,,,,,,,,,
2515,683,47847947.96,106236702.8,62267437.98,51515589.44,113095053.6,0,0,,,,,,,,,,,,,,,,,,,,,
2516,683,3179439897,104651657.9,62267437.98,8453407.697,50929971.2,0,0,,,,,,,,,,,,,,,,,,,,,
2517,683,47847947.96,104651657.9,62267437.98,12362803.55,734817157.5,0,0,,,,,,,,,,,,,,,,,,,,,
2518,683,61337266.39,104651657.9,62267437.98,23897079.86,629856441.9,0,0,,,,,,,,,,,,,,,,,,,,,
2519,683,2307807453,104651657.9,62267437.98,9485952.231,59297372.4,0,0,,,,,,,,,,,,,,,,,,,,,
2520,683,47847947.96,125314423.6,62267437.98,54914601.98,145811674,0,0,,,,,,,,,,,,,,,,,,,,,
2521,683,47847947.96,127351223.4,62267437.98,126000480.1,50929971.2,0,0,,,,,,,,,,,,,,,,,,,,,
2522,683,47847947.96,104651657.9,62267437.98,8727804.061,166825177.2,0,0,,,,,,,,,,,,,,,,,,,,,
2523,683,47847947.96,104651657.9,62267437.98,106514239.7,120102100.6,0,0,,,,,,,,,,,,,,,,,,,,,
2524,683,47847947.96,104651657.9,62267437.98,10475948.86,122723284,0,0,,,,,,,,,,,,,,,,,,,,,
2525,683,47847947.96,104651657.9,62267437.98,11545695.67,1312973135,0,0,,,,,,,,,,,,,,,,,,,,,
2526,683,47847947.96,199889339.6,62267437.98,42406792.86,50929971.2,0,0,,,,,,,,,,,,,,,,,,,,,
2527,683,47847947.96,154538896.9,62267437.98,8453407.697,249082383.4,0,0,,,,,,,,,,,,,,,,,,,,,
2528,683,47847947.96,105021953.1,62267437.98,123949730.8,50929971.2,0,0,,,,,,,,,,,,,,,,,,,,,
2529,683,47847947.96,104651657.9,62267437.98,39002531.03,451657015.9,0,0,,,,,,,,,,,,,,,,,,,,,
2530,683,47847947.96,104651657.9,62267437.98,10438993.23,102106975.5,0,0,,,,,,,,,,,,,,,,,,,,,
2531,683,47847947.96,104651657.9,62267437.98,45456674.87,50929971.2,0,0,,,,,,,,,,,,,,,,,,,,,
2532,683,488203129.5,104651657.9,62267437.98,30929602.47,62564530.69,0,0,,,,,,,,,,,,,,,,,,,,,
2533,683,47847947.96,104651657.9,62267437.98,10852091.65,458362410,0,0,,,,,,,,,,,,,,,,,,,,,
2534,683,47847947.96,128921244.7,62267437.98,158042169.7,50929971.2,0,0,,,,,,,,,,,,,,,,,,,,,
2535,683,47847947.96,104651657.9,62267437.98,38221652.26,54803737.97,0,0,,,,,,,,,,,,,,,,,,,,,
2536,683,47847947.96,104651657.9,62267437.98,8453407.697,108175674.8,0,0,,,,,,,,,,,,,,,,,,,,,
2537,683,47847947.96,104651657.9,62267437.98,104992753.7,50929971.2,0,0,,,,,,,,,,,,,,,,,,,,,
2538,683,47847947.96,104651657.9,62267437.98,11595980.03,177779672.8,0,0,,,,,,,,,,,,,,,,,,,,,
2539,683,47847947.96,104651657.9,62267437.98,102031382.8,50929971.2,0,0,,,,,,,,,,,,,,,,,,,,,
2540,683,138993224.9,104651657.9,62267437.98,12831232.8,371858363.5,0,0,,,,,,,,,,,,,,,,,,,,,
2541,683,604575908.9,104651657.9,62267437.98,10327681.7,137258627.8,0,0,,,,,,,,,,,,,,,,,,,,,
2542,683,63221698.32,104651657.9,62267437.98,55998295.94,79705094.97,0,0,,,,,,,,,,,,,,,,,,,,,
2543,683,47847947.96,104651657.9,62267437.98,11389090.84,303345185.9,0,0,,,,,,,,,,,,,,,,,,,,,
2544,683,47847947.96,104651657.9,62267437.98,130487066.2,50929971.2,0,0,,,,,,,,,,,,,,,,,,,,,
2545,683,161166967.5,104651657.9,62267437.98,8500138.887,97430867.18,0,0,,,,,,,,,,,,,,,,,,,,,
2546,683,47847947.96,104651657.9,1505707647,8453407.697,50929971.2,0,0,,,,,,,,,,,,,,,,,,,,,
2547,683,47847947.96,104651657.9,93361270.46,12635255.97,221005155.4,0,0,,,,,,,,,,,,,,,,,,,,,
2548,683,47847947.96,104651657.9,62267437.98,11548499.04,113488989.3,0,0,,,,,,,,,,,,,,,,,,,,,
2549,683,47847947.96,104651657.9,62267437.98,11495455.66,255433722.4,0,0,,,,,,,,,,,,,,,,,,,,,
2550,683,47847947.96,128713472.4,62267437.98,8453407.697,51667314.02,0,0,,,,,,,,,,,,,,,,,,,,,
2551,683,1879146450,104651657.9,62267437.98,10440053.96,50929971.2,0,0,,,,,,,,,,,,,,,,,,,,,
2552,683,47847947.96,106460309.7,62267437.98,17752999.52,291109721.7,0,0,,,,,,,,,,,,,,,,,,,,,
2553,683,47847947.96,104651657.9,221960972.5,32248622.93,99791568.1,0,0,,,,,,,,,,,,,,,,,,,,,
2554,683,47847947.96,104651657.9,62267437.98,10544160.84,121817949.9,0,0,,,,,,,,,,,,,,,,,,,,,
2555,683,47847947.96,104651657.9,62267437.98,11651734.09,361282060,0,0,,,,,,,,,,,,,,,,,,,,,
2556,683,47847947.96,130239161.9,62267437.98,16574016.28,50929971.2,0,0,,,,,,,,,,,,,,,,,,,,,
2557,683,47847947.96,104651657.9,62267437.98,80813652.19,313606209,0,0,,,,,,,,,,,,,,,,,,,,,
2558,683,47847947.96,104651657.9,133394425.2,11657091.16,80743787.14,0,0,,,,,,,,,,,,,,,,,,,,,
2559,683,47847947.96,104651657.9,62267437.98,11666342.93,627778732.7,0,0,,,,,,,,,,,,,,,,,,,,,
2560,683,47847947.96,134959555.7,62267437.98,10754096.3,124006668.6,0,0,,,,,,,,,,,,,,,,,,,,,
2561,683,47847947.96,132906263.1,62267437.98,106853917.8,50929971.2,0,0,,,,,,,,,,,,,,,,,,,,,
2562,683,47847947.96,104651657.9,66348033.05,18307106.66,105747749.9,0,0,,,,,,,,,,,,,,,,,,,,,
2563,683,47847947.96,104651657.9,62267437.98,22489413.48,92704801.02,0,0,,,,,,,,,,,,,,,,,,,,,
2564,683,2336184995,104651657.9,62267437.98,8453407.697,50929971.2,0,0,,,,,,,,,,,,,,,,,,,,,
2565,683,127880897.3,104651657.9,62267437.98,29353739,50929971.2,0,0,,,,,,,,,,,,,,,,,,,,,
2566,683,47847947.96,104651657.9,62267437.98,133093945.2,50929971.2,0,0,,,,,,,,,,,,,,,,,,,,,
2567,683,47847947.96,104651657.9,62267437.98,23359794.82,51568182.12,0,0,,,,,,,,,,,,,,,,,,,,,
2568,683,774353316,104651657.9,62267437.98,40985805.69,50929971.2,0,0,,,,,,,,,,,,,,,,,,,,,
2569,683,47847947.96,104651657.9,62267437.98,16666876.1,112764473.5,0,0,,,,,,,,,,,,,,,,,,,,,
2570,683,47847947.96,104651657.9,62267437.98,11549489.15,861626864.2,0,0,,,,,,,,,,,,,,,,,,,,,
2571,683,47847947.96,128158771.4,62267437.98,11262670.82,131070756.5,0,0,,,,,,,,,,,,,,,,,,,,,
2572,683,47847947.96,104651657.9,62267437.98,13865829.4,90223062.75,0,0,,,,,,,,,,,,,,,,,,,,,
2573,683,47847947.96,118885408.3,62267437.98,51021332.17,50929971.2,0,0,,,,,,,,,,,,,,,,,,,,,
2574,683,47847947.96,104956492.6,62267437.98,13384828.84,68296752.47,0,0,,,,,,,,,,,,,,,,,,,,,
2575,683,47847947.96,104651657.9,89334794.05,25633632.26,92642039.84,0,0,,,,,,,,,,,,,,,,,,,,,
2576,683,217788850.8,104651657.9,62267437.98,8453407.697,50929971.2,0,0,,,,,,,,,,,,,,,,,,,,,
2577,683,47847947.96,104651657.9,62267437.98,11558267.08,365246501.3,0,0,,,,,,,,,,,,,,,,,,,,,
2578,683,47847947.96,123388683.6,92792828.17,74949077.25,50929971.2,0,0,,,,,,,,,,,,,,,,,,,,,
2579,683,59795885.12,104651657.9,62267437.98,8453407.697,128994653.1,0,0,,,,,,,,,,,,,,,,,,,,,
2580,683,47847947.96,104651657.9,62267437.98,10558183.04,565458889.9,0,0,,,,,,,,,,,,,,,,,,,,,
2581,683,47847947.96,131637586.6,62267437.98,22343885.21,50929971.2,0,0,,,,,,,,,,,,,,,,,,,,,
2582,683,47847947.96,104651657.9,62267437.98,31995220.59,95290531.86,0,0,,,,,,,,,,,,,,,,,,,,,
2583,683,47847947.96,104651657.9,62267437.98,10533794.7,202454414.6,0,0,,,,,,,,,,,,,,,,,,,,,
2584,683,47847947.96,106624821.4,62267437.98,11517680.3,260645544.3,0,0,,,,,,,,,,,,,,,,,,,,,
2585,683,47847947.96,104651657.9,62267437.98,32822874.61,79581339.54,0,0,,,,,,,,,,,,,,,,,,,,,
2586,683,47847947.96,127582487.2,62267437.98,8750528.762,179495968.8,0,0,,,,,,,,,,,,,,,,,,,,,
2587,683,47847947.96,104651657.9,62267437.98,8730743.068,88176759.83,0,0,,,,,,,,,,,,,,,,,,,,,
2588,683,47847947.96,104651657.9,62267437.98,12606920.65,101186147.9,0,0,,,,,,,,,,,,,,,,,,,,,
2589,683,120824708.4,104651657.9,62267437.98,8453407.697,54794950.93,0,0,,,,,,,,,,,,,,,,,,,,,
2590,683,47847947.96,104651657.9,62267437.98,39292576.97,103925942.2,0,0,,,,,,,,,,,,,,,,,,,,,
2591,683,58773977.42,131659627.2,62267437.98,31228127.98,50929971.2,0,0,,,,,,,,,,,,,,,,,,,,,
2592,683,47847947.96,214590776.6,62267437.98,44888095.79,491168442.5,0,0,,,,,,,,,,,,,,,,,,,,,
2593,683,47847947.96,104651657.9,62267437.98,143322430.6,50929971.2,0,0,,,,,,,,,,,,,,,,,,,,,
2594,683,47847947.96,104651657.9,62267437.98,55635329.24,606532196.2,0,0,,,,,,,,,,,,,,,,,,,,,
2595,683,47847947.96,104651657.9,62267437.98,12238530.8,158883164.9,0,0,,,,,,,,,,,,,,,,,,,,,
2596,683,47847947.96,104651657.9,62267437.98,90425044.46,52623118,0,0,,,,,,,,,,,,,,,,,,,,,
2597,683,47847947.96,104651657.9,62267437.98,182202537.2,50929971.2,0,0,,,,,,,,,,,,,,,,,,,,,
2598,683,47847947.96,126189505.1,62267437.98,10672219.61,77491312.79,0,0,,,,,,,,,,,,,,,,,,,,,
2599,683,47847947.96,106088102.1,62267437.98,62173788.75,50929971.2,0,0,,,,,,,,,,,,,,,,,,,,,
2600,683,47847947.96,104651657.9,62267437.98,101410598.3,64697975.75,0,0,,,,,,,,,,,,,,,,,,,,,
2601,683,47847947.96,104651657.9,62267437.98,12433450.97,108928528.8,0,0,,,,,,,,,,,,,,,,,,,,,
2602,683,47847947.96,126545983.5,62267437.98,13268546.28,226485596.5,0,0,,,,,,,,,,,,,,,,,,,,,
2603,683,47847947.96,104651657.9,62267437.98,28022203.25,221092360.9,0,0,,,,,,,,,,,,,,,,,,,,,
2604,683,47847947.96,104651657.9,62267437.98,13804433.32,114494721.4,0,0,,,,,,,,,,,,,,,,,,,,,
2605,683,47847947.96,104651657.9,62267437.98,60684248.53,50929971.2,0,0,,,,,,,,,,,,,,,,,,,,,
2606,683,47847947.96,104651657.9,62267437.98,12322723.55,121118726.9,0,0,,,,,,,,,,,,,,,,,,,,,
2607,683,47847947.96,104651657.9,62267437.98,10460373.39,248616178.5,0,0,,,,,,,,,,,,,,,,,,,,,
2608,683,47847947.96,125276183,62267437.98,13861478.74,786870850,0,0,,,,,,,,,,,,,,,,,,,,,
2609,683,50452263.46,104651657.9,62267437.98,12253079.02,53719709.22,0,0,,,,,,,,,,,,,,,,,,,,,
2610,683,279691647.2,104651657.9,66458882.59,8453407.697,50929971.2,0,0,,,,,,,,,,,,,,,,,,,,,
2611,683,47847947.96,125851267.4,62267437.98,11911945.79,52449838.13,0,0,,,,,,,,,,,,,,,,,,,,,
2612,683,47847947.96,122274769.7,62267437.98,10093244.02,83928129.91,0,0,,,,,,,,,,,,,,,,,,,,,
2613,683,47847947.96,107143368.2,62267437.98,12226131.47,896826718.4,0,0,,,,,,,,,,,,,,,,,,,,,
2614,683,47847947.96,104651657.9,62267437.98,11464324.3,114220930.4,0,0,,,,,,,,,,,,,,,,,,,,,
2615,683,158112055.1,104651657.9,62267437.98,11127800.95,50929971.2,0,0,,,,,,,,,,,,,,,,,,,,,
2616,683,47847947.96,121156859.7,65571821.7,12913811.86,106038537,0,0,,,,,,,,,,,,,,,,,,,,,
2617,683,47847947.96,104651657.9,62267437.98,19505999.47,69996188.72,0,0,,,,,,,,,,,,,,,,,,,,,
2618,683,47847947.96,104651657.9,62267437.98,8795017.989,802055925.1,0,0,,,,,,,,,,,,,,,,,,,,,
2619,683,47847947.96,104651657.9,62267437.98,35669745.53,204736868.3,0,0,,,,,,,,,,,,,,,,,,,,,
2620,683,47847947.96,106786738,62267437.98,12342245.86,50929971.2,0,0,,,,,,,,,,,,,,,,,,,,,
2621,683,47847947.96,104651657.9,62267437.98,43550696.67,176529405.1,0,0,,,,,,,,,,,,,,,,,,,,,
2622,683,47847947.96,104651657.9,62267437.98,59340865.1,50929971.2,0,0,,,,,,,,,,,,,,,,,,,,,
2623,683,50232808.92,104651657.9,62267437.98,82332551.23,53211959.77,0,0,,,,,,,,,,,,,,,,,,,,,
2624,683,47847947.96,106954947.4,62267437.98,27395976.34,74057723.35,0,0,,,,,,,,,,,,,,,,,,,,,
2625,683,47847947.96,104651657.9,62267437.98,10359550.84,729582971.6,0,0,,,,,,,,,,,,,,,,,,,,,
2626,683,47847947.96,105142274.9,62267437.98,11022343.8,91907697.3,0,0,,,,,,,,,,,,,,,,,,,,,
2627,683,47847947.96,104651657.9,62267437.98,147749012.7,50929971.2,0,0,,,,,,,,,,,,,,,,,,,,,
2628,683,47847947.96,104651657.9,96012832.97,94694429.16,50929971.2,0,0,,,,,,,,,,,,,,,,,,,,,
2629,683,47847947.96,104651657.9,62267437.98,10962211.62,109894236.6,0,0,,,,,,,,,,,,,,,,,,,,,
2630,683,47847947.96,104651657.9,62267437.98,16065043.78,208574303,0,0,,,,,,,,,,,,,,,,,,,,,
2631,683,47847947.96,104651657.9,62267437.98,94739645.23,50929971.2,0,0,,,,,,,,,,,,,,,,,,,,,
2632,683,47847947.96,104651657.9,62267437.98,8526294.377,110233998,0,0,,,,,,,,,,,,,,,,,,,,,
2633,683,50020353.86,121866685.4,62267437.98,14518723.75,481319030.2,0,0,,,,,,,,,,,,,,,,,,,,,
2634,683,47847947.96,264569195.8,62267437.98,10611305.63,382715862.5,0,0,,,,,,,,,,,,,,,,,,,,,
2635,683,47847947.96,104651657.9,62267437.98,40079899.18,51317716.65,0,0,,,,,,,,,,,,,,,,,,,,,
2636,683,47847947.96,104651657.9,62267437.98,10787185,91276946.57,0,0,,,,,,,,,,,,,,,,,,,,,
2637,683,47847947.96,104651657.9,62267437.98,11006056.57,173476222.6,0,0,,,,,,,,,,,,,,,,,,,,,
2638,683,47847947.96,104651657.9,62267437.98,36299384.54,51399631.05,0,0,,,,,,,,,,,,,,,,,,,,,
2639,683,1814654256,104651657.9,62267437.98,14381135.95,64497632.31,0,0,,,,,,,,,,,,,,,,,,,,,
2640,683,47847947.96,104651657.9,62267437.98,11468549.21,204832115.1,0,0,,,,,,,,,,,,,,,,,,,,,
2641,683,47847947.96,104651657.9,62267437.98,12443685.97,181846088.6,0,0,,,,,,,,,,,,,,,,,,,,,
2642,683,47847947.96,104651657.9,62267437.98,26530288.37,86866711.81,0,0,,,,,,,,,,,,,,,,,,,,,
2643,683,47847947.96,107193350.6,105377707,8453407.697,51642050.46,0,0,,,,,,,,,,,,,,,,,,,,,
2644,683,47847947.96,144579511.2,62267437.98,21675188.87,50929971.2,0,0,,,,,,,,,,,,,,,,,,,,,
2645,683,47847947.96,104953555,62267437.98,10461409.59,259015855.7,0,0,,,,,,,,,,,,,,,,,,,,,
2646,683,47847947.96,104651657.9,103653567.7,55527586.72,50929971.2,0,0,,,,,,,,,,,,,,,,,,,,,
2647,683,47847947.96,104651657.9,93131013.68,54623658.42,50929971.2,0,0,,,,,,,,,,,,,,,,,,,,,
2648,683,47847947.96,104651657.9,62267437.98,119664390.4,50929971.2,0,0,,,,,,,,,,,,,,,,,,,,,
2649,683,47847947.96,104651657.9,62267437.98,85618056.46,50929971.2,0,0,,,,,,,,,,,,,,,,,,,,,
2650,683,47847947.96,134952648.2,62267437.98,18948070.69,187511439.1,0,0,,,,,,,,,,,,,,,,,,,,,
2651,683,47847947.96,104651657.9,62267437.98,10976327.58,226021097.7,0,0,,,,,,,,,,,,,,,,,,,,,
2652,683,2839266487,104651657.9,62267437.98,14874955.75,324656879.8,0,0,,,,,,,,,,,,,,,,,,,,,
2653,683,47847947.96,104651657.9,114326860,24273101.18,494988487.9,0,0,,,,,,,,,,,,,,,,,,,,,
2654,683,47847947.96,104651657.9,101405584.3,15334607.1,168295087.4,0,0,,,,,,,,,,,,,,,,,,,,,
2655,683,47847947.96,173624489.1,62267437.98,8453407.697,1162097853,0,0,,,,,,,,,,,,,,,,,,,,,
2656,683,47847947.96,104651657.9,62267437.98,33709407.69,50929971.2,0,0,,,,,,,,,,,,,,,,,,,,,
2657,683,129363417.9,104651657.9,62267437.98,30188607.59,103344515.1,0,0,,,,,,,,,,,,,,,,,,,,,
2658,683,47847947.96,104651657.9,62267437.98,51574933.01,50929971.2,0,0,,,,,,,,,,,,,,,,,,,,,
2659,683,47847947.96,104651657.9,62267437.98,19631862.01,122126854.3,0,0,,,,,,,,,,,,,,,,,,,,,
2660,683,47847947.96,104651657.9,62267437.98,136057206.7,50929971.2,0,0,,,,,,,,,,,,,,,,,,,,,
2661,683,47847947.96,104651657.9,62267437.98,12625425.98,77709296.47,0,0,,,,,,,,,,,,,,,,,,,,,
2662,683,47847947.96,104651657.9,62267437.98,10481668.99,168539760,0,0,,,,,,,,,,,,,,,,,,,,,
2663,683,47847947.96,104651657.9,62267437.98,24363458.55,92108956.56,0,0,,,,,,,,,,,,,,,,,,,,,
2664,683,47847947.96,104651657.9,62267437.98,10382570.44,179833064.6,0,0,,,,,,,,,,,,,,,,,,,,,
2665,683,47847947.96,104651657.9,62267437.98,12465338.74,144840896.7,0,0,,,,,,,,,,,,,,,,,,,,,
2666,683,47847947.96,104651657.9,62267437.98,15455304.25,50929971.2,0,0,,,,,,,,,,,,,,,,,,,,,
2667,683,47847947.96,135209325.6,62267437.98,12246824.77,50929971.2,0,0,,,,,,,,,,,,,,,,,,,,,
2668,683,47847947.96,104651657.9,89335904.04,10457710.33,51435268.53,0,0,,,,,,,,,,,,,,,,,,,,,
2669,683,47847947.96,104651657.9,99787027.57,70560326.8,50929971.2,0,0,,,,,,,,,,,,,,,,,,,,,
2670,683,136511477.3,122450189.9,62267437.98,102059794,50929971.2,0,0,,,,,,,,,,,,,,,,,,,,,
