,policy,A.1 Total Costs,A.2 Total Costs,A.3 Total Costs,A.4 Total Costs,A.5 Total Costs,RfR Total Costs,Expected Evacuation Costs
77,277,68139002.95605196,90446363.010768,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
78,277,68139002.95605196,115889008.78638291,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
79,277,68139002.95605196,442884384.5645915,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
80,277,68139002.95605196,120769337.5875716,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
81,277,68139002.95605196,118693119.70109846,126101524.65875304,22258486.725668453,314598548.8336791,0.0,0.0
82,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,98202903.99884751,0.0,0.0
83,277,68139002.95605196,90448329.72686058,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
84,277,68139002.95605196,396219639.3142034,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
85,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,132737523.54507734,0.0,0.0
86,277,68139002.95605196,163718356.04492295,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
87,277,68139002.95605196,99956440.62554628,126101524.65875304,22258486.725668453,81539821.59085816,0.0,0.0
88,277,68139002.95605196,120699884.14286524,126101524.65875304,22258486.725668453,347062234.6299853,0.0,0.0
89,277,68139002.95605196,91577516.26541512,126101524.65875304,22258486.725668453,114755095.47194654,0.0,0.0
90,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
91,277,68139002.95605196,492649798.16432047,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
92,277,316396191.3090655,90143923.5488522,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
93,277,68139002.95605196,117118020.02111688,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
94,277,68139002.95605196,150214721.15287477,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
95,277,68139002.95605196,105156815.78387384,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
96,277,68139002.95605196,96593269.316803,126101524.65875304,22258486.725668453,94546819.5479016,0.0,0.0
97,277,68139002.95605196,114093528.59352846,126101524.65875304,22258486.725668453,382058960.4274705,0.0,0.0
98,277,68139002.95605196,114306395.0298874,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
99,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
100,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,105353856.54688424,0.0,0.0
101,277,68139002.95605196,123612648.74315847,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
102,277,68139002.95605196,341079634.91345626,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
103,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,39943597.99605236,0.0,0.0
104,277,159604432.7123988,677342969.7662964,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
105,277,68139002.95605196,118670292.25376524,126101524.65875304,30936396.15609468,94191768.44712722,0.0,0.0
106,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,133677667.975647,0.0,0.0
107,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
108,277,68139002.95605196,144251126.62470868,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
109,277,68139002.95605196,118780505.9914427,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
110,277,147907060.53003764,90143923.5488522,126101524.65875304,22258486.725668453,381238247.5112194,0.0,0.0
111,277,68139002.95605196,100224454.8522088,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
112,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,41988825.56668028,0.0,0.0
113,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,167006500.9253515,0.0,0.0
114,277,68139002.95605196,90446287.75772163,126101524.65875304,22258486.725668453,45230761.00037746,0.0,0.0
115,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
116,277,68139002.95605196,91570990.92467946,126101524.65875304,22258486.725668453,38691308.1329787,0.0,0.0
117,277,68139002.95605196,97885897.16187672,126101524.65875304,22258486.725668453,74774046.25304113,0.0,0.0
118,277,68139002.95605196,583371467.5710365,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
119,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,119956487.16848524,0.0,0.0
120,277,68139002.95605196,97950552.536449,126101524.65875304,22258486.725668453,182246112.8548031,0.0,0.0
121,277,68139002.95605196,102110214.07337888,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
122,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
123,277,68139002.95605196,113659857.25071178,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
124,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
125,277,68139002.95605196,149773130.08491725,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
126,277,68139002.95605196,91242475.67967813,126101524.65875304,22258486.725668453,35118619.60492786,0.0,0.0
127,277,68139002.95605196,104545893.8345768,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
128,277,68139002.95605196,103421095.79963665,126101524.65875304,22258486.725668453,256044080.37703872,0.0,0.0
